orig_index,Nom de l'objet,Programme,Adresse 1,Adresse 2,Adresse 3,Numéro postal,Localité,Canton - Département,Pays,Date de début de l'objet,Date de fin de l'objet,Concours ouvert à,Notes de l'objet,Auteurs,Rôle de l'auteur,Dossiers reliés,Pièces reliées,CombinedArtists,is_jury,paired_competitons,comp_id
908,"Concours Bureau International du Travail, Genève",,,,,,Genève,Genève,Suisse,,,,,"Lanz, Eduard",,0004.04.0184,,"[array(['Lanz, Eduard'], dtype=object)]",False,[],908
909,"Stockholm, concours d'urbanisation",,,,,,Stockholm,,Suisse,,,,Concours international d'urbanisme.,"Tschumi, Jean",Architecte,0060.02.0033 ; 0060.01.0115 ; 0060.04.0266,,"[array(['Tschumi, Jean'], dtype=object)]",False,[],909
910,"Concours de projets pour maisons familiales économiques, en banlieue",,,,,,,,,,1935-01-01,National,"Organisé par l'Union suisse pour l'amélioration du logement, en collaboration avec la Commission suisse pour la protection de la famille. Concerne tout le territoire suisse. Pas d'indication de composition du jury  ni de dates d'ouverture et de rendu dans le BTSR",,,,,,False,[1105],910
911,"Hôpital Cantonal de Zurich, concours",Hôpital cantonal,Bleulerstrasse ,Lenggstrasse,,,Zurich-Burghölzli,,Zurich,,,,"Motto 46973. Il s'agit d'un concours d'idées pour l'hôpital cantonal et universitaire de Zurich, sur un terrain en forte pente au voisinage de la clinique du Burghözli. Finalement l'hôpital se fera à la Rämistrasse. Ce terrain en périphérie implique le besoin de construire des logements pour le personnel (proposition pavillonnaire); groupement en peigne des unités de soins. Programme complexe.","Tschumi, Jean",Architecte,0060.04.0137,,"[array(['Tschumi, Jean'], dtype=object)]",False,[],911
912,Concours Ecole Vie,Enseignement et recherche,,,,,,,Suisse,,,,"Projet d'une école intitulé ""Vie"". Sur une trame orthogonale, les différentes unités sont disposées en croix.  Sur un socle de deux niveaux avec les espaces communs, préaux et galeries, trois bâtiments de deux niveaux accueillant les chambres.;Sans date ni localisation.","Gaillard, André;Gaillard, Francis",Architecte;Architecte,0143.04.0345,,"[array(['Gaillard, André'], dtype=object)
 array(['Gaillard, Francis'], dtype=object)]",False,[],912
913,"Concours Centre international, à Vienne",Administration,,,,,Vienne,,Autriche,,,,"Concours pour un centre administratif international accueillant des agences de l'ONU. Parti exprimé dans les documents: un grand vaisseau amarré dans un plan d'eau entouré de verdure. Sur un socle de deux à trois niveaux couvrant tout la surface rectangulaire occupée par le centre, six tours allant jusqu'à quarante étages dont la silhouette suit la forme d'une voile latine,  une série de bâtiments allongés côte à côte comportant jusqu'à 10 niveaux ainsi qu'au centre de l'ensemble, un bâtiment de deux niveaux sur sur deux grand piliers reliés à l'une des tours par une passerelle.;;Selon M. Orizet, le pan incliné des bâtiments permettait de faire ruisseler de l'eau et de gérer ainsi les questions thermiques. (rafaîchissement)","Gaillard, André",Architecte,0143.04.0375,,"[array(['Gaillard, André'], dtype=object)]",False,[],913
914,"Concours sur invitation pour l'achèvement du quartier ch. du Pont-de-Ville, ch. de la Fontaine, Seymaz, à Chêne-Bougeries",Habitation plurifamiliale,"Fontaine, ch. de la","Chêne-Bougeries, rue de",,,Chêne-Bougeries,,Genève,,,,"Concours pour l'aménagement de parcelles situées directement sur la Seymaz, sur la rue de Chêne-Bougeries, en amont du Pont de la Seymaz. Le projet du bureau Gaillard est nommé ""sCHeymaz ... à suivre"". Le principe de base en est la construction en deux étapes d'un immeuble, avec galerie commerciale et artisanale sur deux niveaux, ainsi que huit niveaux de logements: appartements traversants principalement de 5 et 6 pièces, sur un niveau ou en duplex.","Gaillard, André;Orizet, Gabriel;Gaillard, Philippe;Fondation communale pour l'aménagement de Chêne-Bougeries",Architecte;Architecte;Architecte;Maître d'ouvrage,0143.04.0419,,"[array(['Gaillard, André'], dtype=object)
 array(['Orizet, Gabriel'], dtype=object)
 array(['Gaillard, Philippe'], dtype=object)
 array([""Fondation communale pour l'aménagement de Chêne-Bougeries""],
       dtype=object)                                                 ]",False,[],914
915,"Concours d'idées pour l'aménagement des terrains des Services Industriels, à Genève",Urbanisme,"Saint-Georges, bvd. de","Stand, rue du",,,Genève,,Genève,,,,"Projet dénommé ""La Traverse"". Axes principaux du projet:  création d'un itinéraire de liaison (piétonnier) entre le Rhône et le quartier de Carl-Vogt; dégagement des vues latérales sur l'espace vert que constitue le cimetière de Plainpalais; supression de la circulation automobile dans le périmètre; création d'une école à l'écart des nuisances urbaines, avec création d'un espace vert accentué par des toitures végétalisées. Concrétement: trois immeubles parallèles au bvd. Saint-Georges accueillant principalement des logements, mais également quelques surfaces administratives et commerciales. Une école au centre du terrain: trois bâtiments parallèles reliès par une construction transversale.","Gaillard, André;Services Industriels Genevois",Architecte;Maître d'ouvrage,0143.04.0405,,"[array(['Gaillard, André'], dtype=object)
 array(['Services Industriels Genevois'], dtype=object)]",False,[],915
916,"Concours pour le groupe scolaire primaire du quartier du Bourg, à Fribourg, jugement",,,,,,Fribourg,,Suisse,1911-02-01,,,Rapport du jury BTSR 1911 p.57 et 67. Douze projets reçus.  1er prix 1'500.-  2e prix 850.-;3e prix 650.-,"Andrey, Alphonse;Troller, Joseph +;Dumas +;Spielmann, Rodolphe",1er  prix;1er  prix;3e prix;1er  prix,,,"[array(['Andrey, Alphonse'], dtype=object)
 array(['Troller, Joseph', 'Dumas', 'Spielmann, Rodolphe'], dtype=object)]",True,[97],916
917,Concours pour la reconstruction de la ville de Chauny,,,,,,Chauny,,,1919-02-01,1919-01-01,,Article BTSR 1920 p.279 avec description du programme ,Jaussely,"Juré, rapporteur",,,"[array(['Jaussely'], dtype=object)]",False,[140],917
918,Concours pour un centre touristique à Montreux,,Grande Rue,"Marché, place du",,,Montreux,,Vaud,1945-02-01,1945-06-30,,"Ouvert par le Conseil administratif de la Ville entre les architectes suisses domiciliés dans le canton depuis le 1.2.1944. Plusieurs architectes ayant ""collaboré à l'étude d'assainissement technique de la station touristique de Montreux, dont un domicilié hors du canton, ont été spécialement invités à participer au concours par les municipalités"". L'architecte ""domicilié hors canton"" est Fernand Decker à Neuchâtel","Bernoulli, Hans;Hoechel, Arnold;Jaquet, Ed","Juré;2e prix;Juré, président",,,"[array(['Bernoulli, Hans'], dtype=object)
 array(['Hoechel, Arnold'], dtype=object)
 array(['Jaquet, Ed'], dtype=object)]",False,[1769],918
919,"Concours pour le temple de Saint-Jacques et des locaux scolaires, En Chissiez, Lausanne, jugement",,"Léman, avenue du",,,,Lausanne,,Vaud,1962-02-01,1962-03-06,,"Extraits du rapports du jury BTSR 1962 p.213. Délibérations les 1,13,15,20,22 février et 6 mars. Le jury ne recommande pas l'exécution de l'un des projets et propose au maître de l'ouvrage de demander une nouvelle étude aux auteurs des 1er, 2e et 3e prix. Pas d'indication du nombre de projets remis dans le BTSR.  1er prix 4'500.-  2e prix 4'000.-  3e prix 3'800.-  4e prix 3'400.-  5e prix 2'300.-  Un achat 2'000.- (au projet n°3 disqualifié pour anticipation trop important sur les alignements)","Zolla, René +;Brugger, Albert;Jaunin, Georges +;Favre, Michel;Thévenaz, Charles-François &;Prod'hom, Pierre &;Bonanomi, Lydia +;Schaffner, Hans +;Rolf, Ernst, coll.;Okolski, Laurent d';Maillard, Marcel &;Maillard, Jacques &;Vallotton, Paul",Achat;Achat;Achat;4e prix;1er  prix;1er  prix;Achat;3e prix;1er  prix;3e prix;2e prix;2e prix;1er  prix,,,"[array(['Zolla, René', 'Brugger, Albert'], dtype=object)
 array(['Jaunin, Georges', 'Favre, Michel'], dtype=object)
 array(['Thévenaz, Charles-François', ""Prod'hom, Pierre"",
        'Bonanomi, Lydia', 'Schaffner, Hans', 'Rolf, Ernst, coll.'],
       dtype=object)
 array([""Okolski, Laurent d'""], dtype=object)
 array(['Maillard, Marcel', 'Maillard, Jacques', 'Vallotton, Paul'],
       dtype=object)                                                ]",True,[415],919
920,"Concours pour la Banque Populaire de la Broye, à Payerne, jugement",,,,,,Payerne,,Suisse,1920-03-01,1920-03-02,,"Rapport du jury BTSR p.222,235,246. Vingt-cinq projets reçus, tous dans les délais. 1er prix 2'000.-  Deux 2e prix ex a. 1'500.-  3e prix 1'000.-  Un achat (auteur inconnu)","Chapallaz, René;Huguenin, Fritz +;Schorp, Alphonse +;Epitaux, Georges;Laverrière, Alphonse","Juré, suppléant;4e prix ex aequo;4e prix;Juré;",,,"[array(['Chapallaz, René'], dtype=object)
 array(['Huguenin, Fritz', 'Schorp, Alphonse', 'Epitaux, Georges'],
       dtype=object)
 array(['Laverrière, Alphonse'], dtype=object)]",True,[1480],920
921,"Concours pour la Banque Populaire de la Broye, à Payerne, jugement",Commerce,,,,,Payerne,,Suisse,1920-03-01,1920-03-02,,"Rapport du jury BTSR p.222,235,246. Vingt-cinq projets reçus, tous dans les délais. 1er prix 2'000.-  Deux 2e prix ex a. 1'500.-  3e prix 1'000.-  Un achat (auteur inconnu)","Epitaux, Georges;Chapallaz, René;Laverrière, Alphonse","Juré;Juré, suppléant;",,0002.MIGRATION/400001 ; 0002.MIGRATION/330001,"[array(['Epitaux, Georges'], dtype=object)
 array(['Chapallaz, René'], dtype=object)
 array(['Laverrière, Alphonse'], dtype=object)]",True,[1480],921
922,"Concours pour la reconstruction du pont de Zaehringen à Fribourg, jugement",,,,,,Fribourg,,Suisse,1921-03-01,1921-03-02,,"BTSR 1922 p.115. ""La Direction des Travaux publics a ouvert en automne 1920 une soumission restreinte avec concours facultatif entre des maisons suisses et étrangères spécialisées dans la construction de des ponts"". Deux projets officiels Arnodin, pont suspendu et Jaeger & Lusser, pont en béton) sont présentés aux concurrents comme base de leur travail, ""toutefois les concurrents furent autorisés à présenter à titre de variante un projet propre qui devait être indemnisé à raison de 500.-"". Quinze équipes participent. Dix-neuf variantes nouvelles. Equipes connues par le BTSR:  1) Maillart/Zschokke Genève;2) Paris/Hertling/Fischer/Hogg      3) Zschokke Döttingen  ;A noter que la Commission des experts proposera un projet qui sera choisi pour l'exécution","Zschokke, Conrad AG;Hertling +;Fischer & +;Maillart & Cie;Zschokke, Conrad SA;Hogg & +;Paris, Adrien +",Concurrent;Concurrent;Concurrent;Concurrent;5e prix;Concurrent;Concurrent,,,"[array(['Zschokke, Conrad AG'], dtype=object)
 array(['Hertling', 'Fischer &', 'Maillart & Cie'], dtype=object)
 array(['Zschokke, Conrad SA'], dtype=object)
 array(['Hogg &, Paris, Adrien'], dtype=object)]",True,[143],922
923,Concours pour le Pénitencier de Bochuz (Plaine de l'Orbe),,Bochuz,,,,Orbe,,Vaud,1924-03-01,1924-05-15,,Description du concours BTSR 1924 p.64. Ouvert par le Département des travaux publics entre les architectes vaudois ou suisses régulièrement établis dans le canton depuis trois ans,"Suter, Rudolf;Kellerhals, M;Braillard, Maurice;Dufour, J;Bron, Eugène;Bonjour, Charles-François","Juré;Juré;2e prix;Juré, président;Assiste au jury;Juré",,,"[array(['Suter, Rudolf'], dtype=object)
 array(['Kellerhals, M'], dtype=object)
 array(['Braillard, Maurice'], dtype=object)
 array(['Dufour, J'], dtype=object) array(['Bron, Eugène'], dtype=object)
 array(['Bonjour, Charles-François'], dtype=object)]",False,[1730 1731],923
924,"Concours d'idées pour un centre municipal d'éducation physique et de sports dans le quartier des Vernets, à Genève, jugement",,"Acacias, route des",,,,Genève,,Genève,1944-03-01,1944-03-06,,"Extrait du rapport du jury BTSR 1944 p.113. Délibérations les 1,2,3,4,5 et 6 mars. Vingt projets remis.  1er prix 5'000.-  2e prix 4'500.-  3e prix 3'200.-  4e prix 2'800.-  5e prix 2'500.-  6e prix 2'000.-","Nierlé, Pierre +;Hoechel, Arnold +;Bosonnet, J;Tschäppät, Ad;Magnin, Edmond +;Torcapel, Anne +;Lozeron, Arthur +;Martin, Ernest +;Erb, Jean +;Paré, J.-L, coll.",2e prix;3e prix;3e prix;4e indemnité;3e prix;5e prix;3e prix;3e prix;3e prix;1er  prix,,,"[array(['Nierlé, Pierre', 'Hoechel, Arnold', 'Bosonnet, J'], dtype=object)
 array(['Tschäppät, Ad'], dtype=object)
 array(['Magnin, Edmond', 'Torcapel, Anne', 'Lozeron, Arthur',
        'Martin, Ernest', 'Erb, Jean', 'Paré, J.-L, coll.'], dtype=object)]",True,[1997],924
925,"Concours d'idées pour un abattoir, à Nyon, jugement",,,,,,Nyon,,Suisse,1927-04-01,1927-04-02,,Rapport du jury BTSR 1928 p.65 et 77. Trente et un projets remis dans les délais. 1er prix 1'200.-  2e rprix 1'000.-  3e prix 700.-  4e prix 600.- ,"Baumann, Walter;Schorp, Alphonse;Genoud, Louis;Virieux, Edmond +;Baud +",6e prix;3e prix;4e prix;1er  prix;1er  prix,,,"[array(['Baumann, Walter'], dtype=object)
 array(['Schorp, Alphonse'], dtype=object)
 array(['Genoud, Louis'], dtype=object)
 array(['Virieux, Edmond, Baud'], dtype=object)]",True,[1398],925
926,Concours de la Société pour l'amélioration du logement (section romande),,,,,,,,,1920-05-01,1920-06-25,,"Ouvert par l'association entre les architectes domiciliés ""sur le territoire de la Section romande"", Jura bernois compris, pour la création de types d'habitations économiques ","Chapallaz, René;Martin, Camille;Freymond, Arthur;Mayor, A;Braun, Charles;Laverrière, Alphonse","Juré, suppléant;Juré;Juré;Juré;Suppléant;",,,"[array(['Chapallaz, René'], dtype=object)
 array(['Martin, Camille'], dtype=object)
 array(['Freymond, Arthur'], dtype=object)
 array(['Mayor, A'], dtype=object) array(['Braun, Charles'], dtype=object)
 array(['Laverrière, Alphonse'], dtype=object)]",False,[2109],926
927,"Concours (2e degré) pour le parlement fédéral à Berne, jugement",,,,,,Bern,,Suisse,1891-06-01,1891-06-03,,"Séances de la commission les 1,2 et 3 juin. Celle-ci ne départage pas les deux concurrents. Rapport de la commission SBZ vol. XVII p.149, voir également p.140,148,160 et 162. Le 30 juin 1891 le Conseil fédéral décide de mandater Hans Auer pour l'étude de l'exécution. Description du projet définitif SBZ 1892 vol. XIX p.172","Bluntschli, Friedrich;Auer, Hans",Juré;Juré,,,"[array(['Bluntschli, Friedrich'], dtype=object)
 array(['Auer, Hans'], dtype=object)]",True,[1484],927
928,"Concours pour un nouvel Hôtel des Postes et Télégraphes à Zürich, jugement",,Stadthausquai,Fraumünsterstrasse,,,Zürich,,Zurich,1892-06-01,1892-06-02,,"Rapport du jury SBZ vol.XX p.30. Voir auissi SBZ vol. XX p.4,11,17,19, vol. XXI p.167 et vol. XXII p.56,166.  Vingt-sept projets remis (la SBZ juge ce nombre relativement faible vis à vis des concours de St. Gallen (59), Luzern (48) et Genève (40)). Pas de premier prix.  2e prix 2'800.-   Trois 3e prix ex aequo 2'000.-  4e prix 1'200.-  C'est en définitive Schmidt-Kerez qui est chargé de l'exécution sur la base d'un projet remanié","Meyer, Eugène;Schmid-Kerez, E;Jost, Eugène;Romang, Alfred;Koch, Alexander",2e prix;4e prix;3e prix ex aequo;3e prix ex aequo;3e prix ex aequo,,,"[array(['Meyer, Eugène'], dtype=object)
 array(['Schmid-Kerez, E'], dtype=object)
 array(['Jost, Eugène'], dtype=object)
 array(['Romang, Alfred'], dtype=object)
 array(['Koch, Alexander'], dtype=object)]",True,[2058],928
929,Concours pour l'aménagement des terrains de l'ancienne gare de Bienne,Urbanisme,,,,,Bienne,,Suisse,1925-06-01,1925-09-27,"Restreint, sur invit","Ouvert par la direction des travaux de la ville entre les cinq architectes ""étrangers"" invités par elle, Fröhlich, Bernouilli, Daxelhofer, Laverrière et Braillard, et le groupe des architectes de Bienne.;Le rendu des projets initiallement prévu le 31 août 1925 est renvoyé au 27 septembre 1925.","Vögtli;Herter, Hermann;Risch, Martin;Villars, Jean-Félix;Martin, Camille;Rittmeyer, Robert","Juré;2e rang;Juré;Juré;Juré;Juré, suppléant",0002.04.0178 ; 0002.03.0067 ; 0002.03.0074,,"[array(['Vögtli'], dtype=object) array(['Herter, Hermann'], dtype=object)
 array(['Risch, Martin'], dtype=object)
 array(['Villars, Jean-Félix'], dtype=object)
 array(['Martin, Camille'], dtype=object)
 array(['Rittmeyer, Robert'], dtype=object)]",False,[171],929
930,"Concours d'idées pour le raccordement du Canal transhelvétique au lac Léman, jugement",,,,,,Lausanne,,Suisse,1948-06-01,1948-06-08,,"Extrait du rapprot du jury BTSR 1948 p.214. Délibérations les 1,2,3 et 8 juin. Quinze projets remis dans les délais.  1er prix 7'500.-  2e prix 7'000.-  3e prix 5'500.-  4e prix 5'000.-","Pfister, H. B;Waldvogel, J;Catella, G;Weber, W;Lerch, Arthur &;Lerch, Georges &",2e prix;3e prix;3e prix;4e prix;2e rang;2e rang,,,"[array(['Pfister, H. B'], dtype=object)
 array(['Waldvogel, J'], dtype=object) array(['Catella, G'], dtype=object)
 array(['Weber, W'], dtype=object)
 array(['Lerch, Arthur, Lerch, Georges'], dtype=object)]",True,[],930
931,Concours pour une auberge communale et une grande salle à Echandens,,,,,,Echandens,,Vaud,1963-06-01,1963-10-28,A. romand,"Concours ouvert entre les architectes vaudois ou suisses exerçant leur profession dans les cantons de Vaud, Genève, Neuchâtel, Fribourg et Valais. Pas d'indication du MO, le programme peut être obtenu au ""bureau Nestlé à Echandens""","Maillard, Marcel;Vouga, Jean-Pierre;Chappuis, Aloïs;Fallet, Pierre;Laubscher, Marcel;Pointet, René;Martin, Pierre;Mamin, Eugène",Juré;Juré;Juré;Juré;Juré;Juré;Juré;Indemn. 10e rang,,,"[array(['Maillard, Marcel'], dtype=object)
 array(['Vouga, Jean-Pierre'], dtype=object)
 array(['Chappuis, Aloïs'], dtype=object)
 array(['Fallet, Pierre'], dtype=object)
 array(['Laubscher, Marcel'], dtype=object)
 array(['Pointet, René'], dtype=object)
 array(['Martin, Pierre'], dtype=object)
 array(['Mamin, Eugène'], dtype=object)]",False,[437],931
932,"Concours restreint d'architecture pour le pavillon Suisse de l'exposition internationale ""Arts et techniques dans la vie moderne"" Paris 1937",Culture et vie sociale : pavillon d'exposition,,,,,Paris,,,1936-07-01,1936-07-29,"Restreint, sur invit",,"Favarger, Jacques;Reist, waldemar;Henauer, Walter;Streiff, E;Thiessing, René;Hostettler, Emil;Chapallaz, René;Laverrière, Alphonse","Juré;Juré;Juré;Juré;Juré;;Juré, suppléant;",,,"[array(['Favarger, Jacques'], dtype=object)
 array(['Reist, waldemar'], dtype=object)
 array(['Henauer, Walter'], dtype=object)
 array(['Streiff, E'], dtype=object)
 array(['Thiessing, René'], dtype=object)
 array(['Hostettler, Emil'], dtype=object)
 array(['Chapallaz, René'], dtype=object)
 array(['Laverrière, Alphonse'], dtype=object)]",False,[],932
933,Concours d'idées pour un Centre civique à Chênes-Bougeries (Genève),,,,,,Chênes-Bougeries,,Suisse,1967-07-01,1967-01-01,A. communal,"Ouvert par la commune entre les architectes domiciliés ou établis dans la commune. Pas d'autre indication (jury, résultats,...) dans le BTSR",,,,,,False,[],933
934,"Concours restreint pour le monument commémoratif de la fondation de l'Union postale universelle, jugement-397",,Steinhauerplatz,,,,Bern,Berne,Suisse,1904-08-01,1904-08-08,,"BTSR 1904, p.339","Saint-Marceaux, René de",Retenu pour l'exéc.,,,"[array(['Saint-Marceaux, René de'], dtype=object)]",True,[],934
935,"Concours restreint pour le monument commémoratif de la fondation de l'Union postale universelle, jugement-398",,Steinhauerplatz,,,,Bern,Berne,Suisse,1904-08-01,1904-08-08,,"BTSR 1904, p.339","Saint-Marceaux, René de",Retenu pour l'exéc.,,,"[array(['Saint-Marceaux, René de'], dtype=object)]",True,[],935
936,"Concours pour un collège à Prilly, jugement",,,,,,Prilly,,Vaud,1907-08-01,,,"Rapport du jury BTSR 1907 p. 268. 27 projets rendus, tous dans les délais.;1er prix 400.-  2e prix 350.-  3e prix 250.-","Bueche, Louis &;Bosset, Louis &;Okolski, Eugène d' &;Squire, Edmond &;Epitaux, Georges",2e prix;2e prix;1er  prix;1er  prix;Juré,,,"[array(['Bueche, Louis', 'Bosset, Louis', ""Okolski, Eugène d'"",
        'Squire, Edmond', 'Epitaux, Georges'], dtype=object)   ]",True,[2309],936
937,Concours de projets pour un Centre paroissial oecuménique à Ittigen,,,,,,Ittigen,,Suisse,1974-08-01,1975-02-14,A. national,Ouvert par les paroisses protestante de Bolligen et catholique-romaine de Berne entre les architectes domiciliés en Suisse dès avant le 1.1.1973. Pas d'indication de composition du jury dans le BTSR ,,,,,,False,[1259],937
938,Concours pour l'aménagement d'une nouvelle plage à Lausanne,,Bellerive,,,,Lausanne,,Vaud,1934-09-01,1934-11-15,A. cantonal,Ouvert par la Municipalité entre les architectes vaudois ou suisses domiciliés dans le canton,"Zollinger, Otto;Bernard, E;Mercier, Georges;Von der Mühll, Henri Robert;Schaub, Otto;Gaillard, Emmanuel;Laverrière, Alphonse","1er rang;Juré;2e prix;Juré, suppléant;Juré, suppléant;Juré;",0122.04.0158,,"[array(['Zollinger, Otto'], dtype=object)
 array(['Bernard, E'], dtype=object)
 array(['Mercier, Georges'], dtype=object)
 array(['Von der Mühll, Henri Robert'], dtype=object)
 array(['Schaub, Otto'], dtype=object)
 array(['Gaillard, Emmanuel'], dtype=object)
 array(['Laverrière, Alphonse'], dtype=object)]",False,[1949],938
939,"Concours d'architecture pour la construction de deux bâtiments d'administration fédéraux, à Berne, concours A",Administration,Theodor Kocherstr.,Inselgasse,Amthausgasse,,Berne,Berne,Suisse,1943-09-01,1944-02-01,Suisses et établis en Suisse,"Sont autorisés à participer au concours:;a) tous les architectes résidant en Suisse depuis deux mois avant la date du concours;;b) les collaborateurs qui emplissent les mêmes conditions;;c) les architectes qui, ayant qualité d'employés et remplissant les mêmes conditions, fournissent une déclaration de consentement de l'employeur.;Le concurrent ne peut participer qu'au concours A ou B et ne remettra qu' un seul projet.","Bärtschi, E;Hofmann, Max;Leuzinger, A.;Kaufmann, Jos;Fatio, Edmond;Hiller, Fritz;Lutz, Max;Laverrière, Alphonse",Juré;4e prix;Juré;Juré;Juré;Juré;3e prix;,0002.03.0125,,"[array(['Bärtschi, E'], dtype=object)
 array(['Hofmann, Max'], dtype=object)
 array(['Leuzinger, A.'], dtype=object)
 array(['Kaufmann, Jos'], dtype=object)
 array(['Fatio, Edmond'], dtype=object)
 array(['Hiller, Fritz'], dtype=object) array(['Lutz, Max'], dtype=object)
 array(['Laverrière, Alphonse'], dtype=object)]",False,[],939
940,"Concours d'architecture pour la construction de deux bâtiments d'administration fédéraux, à Berne, concours B",Administration,"Monbijou, rue",Mühlemattstrasse,,,Berne,Berne,Suisse,1943-09-01,1944-02-01,Suisses et établis en Suisse,"Sont autorisés à participer aux concours:;a) tous les architectes résident en Suisse depuis deux mois avant la date du concours;;b) les collaborateurs qui remplissent les mêmes conditions;;c) les architectes qui, ayant qualité d'employés et remplissant les mêmes conditions, fournissent une déclaration de consentement de l'employeur.;Chaque concurrent reçoit gratuitement les document intéressant les concours A et B. Mais il ne peut participer qu'au concours A ou B et ne remettra qu'un seul projet.","Antonini, G;Directeur Reinhart;Strasser, E;Kaufmann, Jos;Dunkel, William L;Krebs, Friedrich;Gilliard, Frédéric;Bräuning, Franz;Ott, J","4e prix;Juré;Juré;Juré;Juré;3e prix;Juré, suppléant;Juré, président;Juré, suppléant",,,"[array(['Antonini, G'], dtype=object)
 array(['Directeur Reinhart'], dtype=object)
 array(['Strasser, E'], dtype=object)
 array(['Kaufmann, Jos'], dtype=object)
 array(['Dunkel, William L'], dtype=object)
 array(['Krebs, Friedrich'], dtype=object)
 array(['Gilliard, Frédéric'], dtype=object)
 array(['Bräuning, Franz'], dtype=object) array(['Ott, J'], dtype=object)]",False,[],940
941,Concours pour deux bâtiments d'administration à Berne,,Theodor Kocher Strasse,,Monbijoustrasse,,Bern,Berne,Suisse,1943-09-01,1944-04-01,A. national,"Ouvert par le Département fédéral de l'Intérieur (direction des constructions fédérales) entre les architectes résidant en Suisse depuis deux mois au moins. Il s'agit de deux bâtiments distincts, prévus sur des sites différents; les concurrents ne peuvent produire de projet que pour un seul des deux sites. Concours A) Theodor Kocher strasse/Inselgasse; concours B) Monbijoustrasse/Mühlemattstrasse. Pas d'indication de composition du jury, chercher dans SBZ",,,,,,False,[2069],941
942,Concours pour le monument commémoratif de la fondation de l'Union postale universelle,Monument,Steinhauerplatz,,,,Bern,Berne,Suisse,1902-10-01,1903-09-15,International,"Le quatre juillet 1900, le Congrès postal de Berne décide l'érection du monument commémoratif et confie la réalisation du projet au Conseil fédéral suisse. ","Armstead, H.-H;Mehldahl;Lalaing de;Ximenes, Ettore;Strobl, Aloïs;Ruffy, Eugène;Velada, Urioste;Hellmer, Edmond;Bluntschli, Friedrich;Hake;Bartholomé, A",Juré;Juré;Juré;Juré;Juré;Juré;Juré;Juré;Juré;Juré;Juré,,,"[array(['Armstead, H.-H'], dtype=object) array(['Mehldahl'], dtype=object)
 array(['Lalaing de'], dtype=object)
 array(['Ximenes, Ettore'], dtype=object)
 array(['Strobl, Aloïs'], dtype=object)
 array(['Ruffy, Eugène'], dtype=object)
 array(['Velada, Urioste'], dtype=object)
 array(['Hellmer, Edmond'], dtype=object)
 array(['Bluntschli, Friedrich'], dtype=object)
 array(['Hake'], dtype=object) array(['Bartholomé, A'], dtype=object)]",False,[1327],942
943,Concours d'idées pour la révision du plan d'extension de la ville de Lausanne,Urbanisme,,,,,Lausanne,,Suisse,1931-10-01,1932-05-02,Suisses et établis en Suisse,"Description du programme BTSR 1932 p.251 et commentaires de Jean Peitrequin dans le BTSR 1931 p. 270, 1932 p.21 et 1933 p. 257. Ouvert entre les architectes, ingénieurs, géomètres suisses ou établis en Suisse depuis le 1er janvier 1927.;Initialement prévu le le 31 mars 1932, le rendu des projets a été repoussé au 2 mai 1932.","Thévenaz, Charles;Simon, Eugène;Savary, Edouard;Oyex, César;Braillard, Maurice;Guyonnet, Adolphe;Hippenmeier, Konrad;Bernoulli, Hans;Gaillard, Emmanuel;Rochat-Mercier, Frédéric;Rivier, E;Haemmerli, Gustave;Laverrière, Alphonse","1er  prix;Juré;Juré;Juré;2e prix;Juré;Juré;Juré;Juré;Juré;Juré, suppléant;Juré;",0002.03.0068,,"[array(['Thévenaz, Charles'], dtype=object)
 array(['Simon, Eugène'], dtype=object)
 array(['Savary, Edouard'], dtype=object)
 array(['Oyex, César'], dtype=object)
 array(['Braillard, Maurice'], dtype=object)
 array(['Guyonnet, Adolphe'], dtype=object)
 array(['Hippenmeier, Konrad'], dtype=object)
 array(['Bernoulli, Hans'], dtype=object)
 array(['Gaillard, Emmanuel'], dtype=object)
 array(['Rochat-Mercier, Frédéric'], dtype=object)
 array(['Rivier, E'], dtype=object)
 array(['Haemmerli, Gustave'], dtype=object)
 array(['Laverrière, Alphonse'], dtype=object)]",False,[],943
944,Concours d'idées pour une grande salle de la Maison du peuple,,,,,,La Chaux-de-Fonds,,Suisse,1919-11-01,1920-01-24,Arch.suisses,Ouvert par la Commune entre les architectes suisses,"Thévenaz, Charles;Bréguet, Edmond;Bernoulli, Hans;Martin, Camille;Payot;Indermühle, Karl;Belli, Robert","Juré, président;Juré;Juré;Juré;Juré;Juré;Juré, remplaçant",,,"[array(['Thévenaz, Charles'], dtype=object)
 array(['Bréguet, Edmond'], dtype=object)
 array(['Bernoulli, Hans'], dtype=object)
 array(['Martin, Camille'], dtype=object) array(['Payot'], dtype=object)
 array(['Indermühle, Karl'], dtype=object)
 array(['Belli, Robert'], dtype=object)]",False,[1241],944
